ticker,date,factor,label,source,status
SQQQ,2020-08-18,5.0,1:5,feed,CONFIRMED
SQQQ,2022-01-13,5.0,1:5,feed,FEED_ONLY
SQQQ,2024-11-07,5.0,1:5,feed,CONFIRMED
SQQQ,2025-11-20,5.0,1:5,feed,FEED_ONLY
TAL,2017-08-16,0.166667,6:1,feed,CONFIRMED
TD,2014-02-03,0.5,2:1,feed,CONFIRMED
TJX,2018-11-07,0.5,2:1,feed,CONFIRMED
TLRY,2025-12-02,10.0,1:10,feed,CONFIRMED
TMF,2016-08-25,0.25,4:1,feed,CONFIRMED
TMF,2023-12-04,10.0,1:10,feed,CONFIRMED
TNA,2013-04-02,0.5,2:1,feed,CONFIRMED
TNA,2017-05-01,0.5,2:1,feed,CONFIRMED
TQQQ,2014-01-24,0.5,2:1,feed,FEED_ONLY
TQQQ,2017-01-12,0.5,2:1,feed,CONFIRMED
TQQQ,2018-05-24,0.333333,3:1,feed,CONFIRMED
TQQQ,2021-01-21,0.5,2:1,feed,CONFIRMED
TQQQ,2022-01-13,0.5,2:1,feed,FEED_ONLY
TQQQ,2025-11-20,0.5,2:1,feed,FEED_ONLY
TSCO,2013-09-27,0.5,2:1,feed,CONFIRMED
TSCO,2024-12-20,0.2,5:1,feed,CONFIRMED
TSLA,2020-08-31,0.2,5:1,feed,FEED_ONLY
TSLA,2022-08-25,0.333333,3:1,feed,CONFIRMED
TTD,2021-06-17,0.1,10:1,manual,MANUAL
UCO,2015-05-20,5.0,1:5,feed,CONFIRMED
UCO,2017-01-12,2.0,1:2,feed,CONFIRMED
UCO,2022-05-26,0.25,4:1,feed,FEED_ONLY
UNG,2018-01-05,4.0,1:4,feed,CONFIRMED
UNG,2024-01-24,4.0,1:4,feed,FEED_ONLY
UNP,2014-06-09,0.5,2:1,feed,CONFIRMED
URA,2013-05-16,3.0,1:3,feed,CONFIRMED
URA,2015-11-18,2.0,1:2,feed,CONFIRMED
USO,2020-04-29,8.0,1:8,feed,CONFIRMED
UVIX,2023-01-25,5.0,1:5,feed,CONFIRMED
UVIX,2023-10-11,10.0,1:10,feed,CONFIRMED
UVIX,2025-01-15,10.0,1:10,feed,CONFIRMED
V,2015-03-19,0.25,4:1,feed,CONFIRMED
VFC,2013-12-23,0.25,4:1,feed,CONFIRMED
VOO,2013-10-24,2.0,1:2,feed,CONFIRMED
VXX,2021-04-23,4.0,1:4,feed,FEED_ONLY
VXX,2023-03-07,4.0,1:4,feed,CONFIRMED
VXX,2024-07-24,4.0,1:4,feed,CONFIRMED
WEAT,2025-11-25,5.0,1:5,feed,FEED_ONLY
WMT,2024-02-26,0.333333,3:1,feed,CONFIRMED
XBI,2015-09-11,0.333333,3:1,feed,CONFIRMED
XLB,2025-12-05,0.5,2:1,feed,CONFIRMED
XLE,2025-12-05,0.5,2:1,feed,CONFIRMED
XLK,2025-12-05,0.5,2:1,feed,CONFIRMED
XLU,2025-12-05,0.5,2:1,feed,CONFIRMED
XLY,2025-12-05,0.5,2:1,feed,CONFIRMED
XOP,2020-03-30,4.0,1:4,feed,CONFIRMED
