ticker,date,close,source,note
GOLD,2025-05-28,17.8769,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9180
GOLD,2025-05-29,17.7008,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9186
GOLD,2025-05-30,17.6858,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9192
GOLD,2025-06-02,18.7004,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9211
GOLD,2025-06-03,18.2366,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9217
GOLD,2025-06-04,18.3477,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9223
GOLD,2025-06-05,18.5759,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9229
GOLD,2025-06-06,18.8405,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9236
GOLD,2025-06-09,19.2121,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9254
GOLD,2025-06-10,19.4236,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9260
GOLD,2025-06-11,19.5178,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9266
GOLD,2025-06-12,19.2234,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9273
GOLD,2025-06-13,20.1048,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9279
GOLD,2025-06-16,19.5646,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9297
GOLD,2025-06-17,19.4234,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9303
GOLD,2025-06-18,19.3364,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9310
GOLD,2025-06-20,19.0711,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9322
GOLD,2025-06-23,18.8904,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9340
GOLD,2025-06-24,19.5135,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9347
GOLD,2025-06-25,19.6449,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9353
GOLD,2025-06-26,19.9955,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9359
GOLD,2025-06-27,19.3238,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9365
GOLD,2025-06-30,20.2953,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9383
GOLD,2025-07-01,20.5741,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9390
GOLD,2025-07-02,20.8259,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9396
GOLD,2025-07-03,20.9404,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9402
GOLD,2025-07-07,20.7103,yfinance,gap-bridge 2025-05-27..2025-12-02 scale=0.9427
